M mẽ
SNKR sunkar
F vāyu
NJR najar
AM om
KJ khoj
AKTM ekdam
RNTK rājnītik
SMPNTT sambandhit
TJ tej
FKTTF vyaktitva
PTL badal
APKT upbhoktā
APJ upaj
MNT mānte
MKN makān
JL julāī
TFT devtā
KPR kapṛe
SMPF sambhav
SKT saktā
MTT madad
FSTF vāstav
NKT nikaṭ
SMST samast
STS sadasya
K0N kaṭhin
AR are
KSM kisma
APF abhāv
JRR jarūrī
SRM śram
FTS videśī
FSTR vistār
JJ jāegī
FNSPT vanaspati
KLN calne
MSS mahsūs
PRTT pratīt
ATKS adhyakṣ
FRN varṇ
PFS bhaviṣya
TFN dhvani
SKSN śikṣaṇ
SS śeṣ
LKTR lagātār
SRKST surakṣit
TRT dard
SJ cīj
KLPN kalpanā
LKS lakṣya
SRMT śrīmtī
MKT mukt
PSM paścim
STN sādhan
SNKT saṅket
FSTN vastuon
MML māmle
PNKR banākar
SHJ sahaj
SRRK śārīrik
PKR pakaṛ
SNS0N sansthān
SFLT saphaltā
ATM ātmā
PMK bhūmikā
TKNK taknīkī
NNT nīnd
NTN netāon
ANTR andar
TFK tvacā
RNT rājnīti
JM jamā
SFT suvidhā
KNN kānūn
LKK lekhak
PFJT bāvjūd
KRM kram
TMN tumne
HL hāl
STSN sṭeśan
AKL agle
RST rāste
MSTSK mastiṣk
AFK yuvak
RKKR rakhkar
TF davā
KMT kameṭī
SRL saral
SKR śikār
FRKS vŕkṣ
KRNJ kareṅge
ATJK audyogik
ATRT ādhārit
FFRN vivraṇ
MJS mujhse
MSM mausam
FPRT viprīt
LMP lambī
TRSTKN dŕṣṭikoṇ
SMR0N samarthan
SMLN sammelan
SKMK sacmuc
ATTK atyadhik
STNT siddhānt
SRFNK sārvajnik
PRSPR paraspar
KRN cūrṇ
AJN āyojan
SNSKRTK sānskŕtik
SMJN samajhne
XTR chātra
AKSR aksar
JFT jīvit
FSTRT vistŕt
AMRK amerikā
STPT śatābdī
FFS vyavsāy
MNTR mandir
PRK paricay
NSK niścay
APKRN upakraṇ
ATNKFT ātaṅkvādiyõ
FTK vaidik
FFT vividh
FLSFRP phalasvarūp
ATKTR adhiktar
SFPFK svābhāvik
FK vākya
PRS0T paristhitiyõ
NJN niyojan
KRN0 granth
AMR umra
AKN agni
PKSTN pākistān
PSKT paścāt
SNT śānt
AJT āyojit
MSLMN musalmān
PNK baiṅk
NR nārī
ANTM antim
SMTR samudra
TRS dŕśya
ALKN ālocnā
HKTR haikṭar
KTM kadam
FTRN vitraṇ
FNS vanś
PRRN prerṇā
ART aurat
APRL aprail
ANFR anivārya
MHL mahilā
PKN pahcān
KRMS kramśaḥ
FJ vajah
TKTR ḍākṭar
SMPRK sampark
MLNKN mūlyāṅkan
HLT hālat
SNTRP sandarbh
JF jīv
STRT citrit
RJKR rojgār
RPRT riporṭ
MNTRL mantrālay
PR0MK prāthmik
PRTRST pradarśit
JNKL jaṅgal
APKRM upakram
ANKT aṅkit
JSN jisne
KRP garbh
KRMKR karmacāriyõ
TRK tarīke
ATRS ādarś
HS hissā
SNRKN sanracnā
SPRS sparś
JNFR janavrī
STRKL citraklā
KRTR caritra
NRMT nirmit
KKS kakṣā
ASKR āścarya
AKT yukt
PRPNT prabandh
NMNLKT nimnalikhit
ARJN arjun
A0R0 yathārth
PH bahū
JNN jinhonne
X chāyā
PSN paśuon
SMJT samajhtā
PKT bhakti
MJTR majdūrī
PLKL bilkul
ASTTF astitva
FTT vidyut
NTK nāṭak
TRFJ darvāje
KMJR kamjor
ATT ādat
SMPRT sampradāy
PRSN prasanna
NJ nijī
APS abhyās
MPT majbūt
A0T uṭhtā
ANNT ānand
TMM tamām
S0R sthir
SRP śarāb
FJNK vaigyānikõ
PHNK pahuñcā
NMT niyamit
NFN navīn
SSTR śāstra
MLK mālik
ANTLN āndolan
PRFRK pārivārik
K0R kaṭhor
ANPT anupāt
HRN hariyāṇā
SMPN sampanna
FTN vidhān
R rāy
TRNT turant
SKSK śikṣak
MHT mahoday
FRFR pharavrī
PRTKS pratyakṣ
KPKP cupcāp
ANKL anukūl
FSN viṣṇu
PNS bāns
P0KR baiṭhkar
APS0T upasthit
APFKT abhivyakti
SRS0 śreṣṭh
NK nāg
APRT aprādh
ATNM adhiniyam
SHS sāhas
SRFPRTM sarvapratham
AKST agast
FFKN vivecan
MNFJN manovigyān
PHNS pahuñce
KSR kiśorī
ASPT ispāt
TMK dimāg
ASR asar
THT tahat
AML amla
SNRKSN sanrakṣaṇ
FN vāṇī
LH lohe
PSFJN bhāṣāvigyān
PLN bolne
PRKSN prakāśan
AKRMN ākramaṇ
SMPFN sambhāvnā
NRS nareś
STRKR citrakār
SFTNTR svatantra
SRJ sūraj
SKSM sūkṣma
MS mās
PNKT pañcāyat
KRS kursī
FRJKRN vargīkraṇ
MHPRT mahābhārat
PRTJK praudyogikī
NRTRN nirdhāraṇ
FTL vidyālay
FSTT vastutaḥ
PHN bahan
NRT niryāt
KKR cakkar
KRT krodh
FTFN vidvānõ
PKTN bhugtān
AKRN uccāraṇ
TFTN devtāon
ATPT utpatti
RSTRPT rāṣṭrapti
MHRJ mahārāj
APKST apekṣit
AJP ajīb
SNSKR sanskār
SMTN samādhān
RHK rahegā
RMS rameś
ATKM adhigam
SRFTK sarvādhik
PJT bajaṭ
NKSN nuksān
KMPN kampanī
ATPN utpanna
A0KR uṭhkar
SMRJ sāmrājya
SNSTN sanśodhan
RJN rājāon
PSNT pasand
KLKRM kilogrām
KLJ kālej
PRR0N prārthanā
XRKF chiṛkāv
LRK lorik
PRTSHN protsāhan
PRPL prabal
PNJ pūñjī
JKT jagat
SMNT sāmānyataḥ
SFTNTRT svatantratā
MNKR mānkar
PTK bhautik
P0KRM pāṭhyakram
PRNMSFRP pariṇāmasvarūp
PRFT parvat
TLS talāś
KNTJ gāndhījī
ANTRSTR antarrāṣṭrīya
SHN sahan
LKSM lakṣmī
KLKR calkar
KMPR gambhīr
ANKN aṅkan
HNT hindī
PMP bambaī
PR0 prathā
ATF ataev
MHLN mahilāon
PRRT prerit
NHT nihit
SRT śraddhā
MJ mujh
XF chavi
HMKL himācal
S0L sthal
RKM rakam
PHNKN pahuñcne
NN nānā
TKN dukān
0S ṭhos
JP jeb
SNTN cintan
KRNT krānti
PRJ braj
SFTN sāvdhānī
SFN sevan
FTR0 vidyārthiyõ
PRSTKR bhraṣṭācār
KRF kārravāī
KRFH kāryavāhī
ALM islām
ASRM āśram
AKRSN ākarṣaṇ
SMRT samrāṭ
PRMPRKT paramparāgat
TSMPR disambar
JNSNK jansaṅkhyā
KST ghoṣit
RS ŕṣi
AKPR akhbār
PKL bagal
NKM nigam
NRN nārāyaṇ
TLKR ḍālkar
KFL cāval
KNS gaṇeś
ASFR īśvar
ATLT adālat
HTL hoṭal
HR hār
SNKSPT saṅkṣipt
MHTF mahatva
PRTS briṭiś
SFRNMNTR svarṇamandir
MKL machlī
PKPN bacpan
PRTKR pratikriyā
JFN jīvāṇu
KRFL gaṛhvāl
TML tamil
KTR caudhrī
ANJ anāj
FMRS vimarś
FFRK vyāvhārik
FKN vacan
RTR rātri
AFRK aphrīkā
HLK halke
PRRMP prārambh
NRTS nirdeś
ASL aslī
HMT himmat
SSK śāsak
PRTNT pratinidhi
TRSL daraasal
TKPL dekhbhāl
ATSF utsav
SNKLP saṅkalp
SKTSL śaktiśālī
FR0 vyarth
MSRN miśraṇ
NKLN nikālne
ARP arab
SPR supar
FSSKR viśeṣkar
AMT ummīd
RPR rabaṛ
MKP mekaap
PRSNS praśansā
PRTTN pratidin
TPF dabāv
TNT daṇḍ
TKR ṭukṛe
ARFRK urvarak
HNS hinsā
SRF0 sarvathā
PRTP pratāp
SST ceṣṭā
FKRN vyākraṇ
LSNS lāisens
LLT lalit
TFTR daphtar
KRKRT kāryakartā
ARNM yūreniyam
MRN mārne
MHMT muhammad
PRFTN prāvdhān
NKRK nāgrik
JRN girne
APNS upanyās
ANTRK āntarik
HNTSTN hindustān
SNST sansad
SFKRT svīkŕti
FPJN vibhājan
LTN lauṭne
MNK mañc
PRKSL prayogśālā
PRMNT pramāṇit
PRPFSL prabhāvśālī
KRTN gardan
ATKTM adhiktam
SRST sŕṣṭi
SKST śikṣit
PTN badan
FNK pheṅk
PXR pichṛe
PRSRM pariśram
PRFR parivārõ
PRPS paribhāṣā
PRRMPK prārambhik
NRKSN nirīkṣaṇ
TKT tākat
TNTR tantra
TTKLN tatkālīn
HNTN hinduon
HLNK hālāṅki
SMHK sāmūhik
SRJN sŕjan
LFN lāvnī
RHL rāhuljī
AF yuvā
TRPT dhrupad
KHN kahāniyõ
SRLNK śrīlaṅkā
SRMK śramik
MNF mānvīya
NFS nivāsī
TLNTMK tulnātmak
KMK camak
ASN āsan
FSFFTL viśvavidyālay
FRM varmā
PRPR bharpūr
PST bastī
P0N baiṭhne
PRKP prakop
TST dost
KRPN kārban
APKR upcār
AFTN āvedan
ARFT āyurved
HML himālay
FSFN0 viśvanāth
M0R mathurā
KRL gharelū
KLFT kalāvtī
ATHRNR0 udāharṇārth
AAT āghāt
FFSK vyāvsāyik
LKPR lokapriy
RLF relve
MSRT miśrit
FLT phaltaḥ
PRFSR prophesar
PRKLN praclan
AKK ekāek
SRSFT sarasvatī
SMR0 samarth
SMPFT sambhavtaḥ
SRK saṛkõ
FSSK viśeṣagy
FTR vidroh
RF rāv
PTT batāte
NFTN nivedan
TFKR devīgaṛh
TRL taral
KLMTR kilomīṭar
KTP kitāb
ANJN iñjan
ASFL asphal
SFTR sāvitrī
SRTR sardār
SKRPT sagarbhatā
LHR lahar
MSK māsik
MTRS madrās
MNKL maṅgal
PLR bijlīghar
PFTR pavitra
NKLKR nikālkar
TPMN tāpmān
J0 jhūṭh
KSMR kaśmīr
AMRTSR amŕtsar
SNTS sandeś
PJP bhājpā
PTFR paidāvār
JPN jāpān
KPL gopāl
KSKN kośikāon
APTS updeś
ARN uṛān
APJT upyogitā
ALJ ilāj
AFS āvāz
SFSTK svastik
SMKS samīkṣā
SNKRMN saṅkramaṇ
SPTFL śabdāvlī
AJK yaugik
MNTL maṇḍal
PRMN0 premnāth
NTJ netājī
ASTRN asādhāraṇ
SMRN smaraṇ
PMR bīmār
PRSTF prastāvõ
PNTR pandrah
NF nāv
TLF tulph
TTKL tatkāl
AR0FFS0 arthavyavasthā
KMR kumār
